Table 27.	
NONIMMIGRANT ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF RESIDENCE: FISCAL YEARS 2008 TO 2017	

Region and country of residence	2008	2009	2010 1	2011	2012	2013	2014	2015	2016 2	2017	
REGION	
Total	39381928	36231554	46471569	53082286	53887286	61052260	74930606	76638236	77112073	77643267	
Africa	410020	391415	419545	435460	493648	574756	694587	732388	752677	596239	
Asia	8164330	7228615	8759488	9351790	10317367	11601237	12769145	13282782	14079010	13656227	
Europe	14520845	13242341	13587632	14638186	14765445	15191408	15977022	14776496	15617439	16337418	
North America	11517852	10619982	17843932	22218603	21585748	25886751	32582044	32569052	32826605	37086441	
Oceania	1050825	1003953	1250507	1484496	1584781	1755197	1783958	1675390	1739937	1862111	
South America	2972682	3050774	3617278	4127874	4636363	5585093	6176047	6351299	6080707	5523338	
Unknown	745374	694474	993187	825877	503934	457818	4947803	7250829	6015698	2581493	
COUNTRY3	
Total	39381928	36231554	46471569	53082286	53887286	61052260	74930606	76638236	77112073	77643267	
Afghanistan	1845	2167	2266	3120	2570	2770	4143	4283	4934	3375	
Albania	7110	6186	6500	5854	5699	6328	7623	10615	13897	12736	
Algeria	4710	5123	4813	5637	6392	7569	10804	11766	12712	10883	
American Samoa	1384	1402	1485	1226	1093	818	527	938	1631	398	
Andorra	2045	1724	1810	1601	1508	1554	1848	1593	1835	1796	
Angola	6577	7351	7592	8208	10747	12810	14715	13213	10327	8381	
Anguilla	8851	6192	4764	3075	2709	1839	1280	893	1188	861	
Antigua and Barbuda	24953	20420	20197	18437	18268	16502	15994	15773	18150	13842	
Argentina	374359	396635	496355	580415	659320	777054	807515	844518	1027495	883432	
Armenia	5013	4624	4472	4091	5096	6517	7447	8004	9756	9006	
Aruba	28146	24991	22366	16542	19611	18256	19927	14300	12515	8843	
Australia	795931	770481	996293	1219635	1301382	1437767	1444405	1344247	1386233	1492322	
Austria	179014	181219	192187	205473	217798	223610	227191	199500	213795	222096	
Azerbaijan	4411	4786	5296	5141	5908	6545	7426	7862	8046	6385	
Bahamas	353205	305115	303101	275604	269335	260573	252578	260134	285471	273020	
Bahrain	8351	7480	8780	8469	9115	9343	10010	10714	11375	9082	
Bangladesh	10369	11780	14045	15238	18024	25200	38314	38807	39219	32104	
Barbados	70150	62348	67828	64063	61981	61495	63706	63630	68943	52797	
Belarus	9189	8806	10759	10280	11474	11877	14075	15945	19898	15581	
Belgium	309247	284285	296493	311024	313615	318855	329268	296438	294175	314493	
Belize	27967	27348	26770	24532	24268	25536	26767	28082	31507	25744	
Benin	2209	1932	2116	2225	2310	2148	2749	3006	2971	2461	
Bermuda	46325	44152	37508	26560	26855	52935	88880	92243	88899	85695	
Bhutan	728	447	518	482	493	568	937	1068	1004	973	
Bolivia	38919	38447	42719	40874	41460	48676	54389	64647	74441	68700	
Bonaire	X	X	X	NA	NA	NA	358	301	347	342	
Bosnia and Herzegovina	5743	5034	5003	6266	5726	6221	8103	8445	9129	8816	
Botswana	3216	2849	2871	2832	2795	2483	2516	2920	2931	2488	
Brazil	877517	956443	1263944	1578535	1833397	2203777	2462622	2569484	2020983	1842389	
Brunei	1586	1404	1443	1718	2089	2261	2148	1951	1748	1479	
Bulgaria	36344	31007	30663	33933	33752	34762	37994	39199	40601	35382	
