Table 32.	
NONIMMIGRANT TEMPORARY WORKER ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF CITIZENSHIP: FISCAL YEAR 2017	

Region and country of citizenship	Total temporary workers and families1	Workers in specialty occupations	Seasonal agricultural workers	Seasonal non-agricultural workers	Workers with extraordinary ability/ achievement	Athletes, artists, and entertainers	Intracompany transferees	Treaty traders and investors	Other	
(H1B)	(H2A)	(H2B, H2R)2	(O1, O2)	(P1 to P3)	(L1)	(E1 to E3)3	
REGION	
Lithuania	831	61	D	112	126	D	208	117	151	
Luxembourg	327	33	-	-	47	13	130	32	72	
Macedonia	284	93	-	14	16	49	44	17	51	
Madagascar	27	D	-	-	-	-	D	-	14	
Malawi	47	10	-	-	-	6	15	-	16	
Malaysia	5271	1178	-	-	207	35	2325	33	1493	
Maldives	10	D	-	-	-	D	-	-	D	
Mali	119	15	-	-	19	69	-	-	16	
Malta	156	19	-	-	13	D	79	D	42	
Marshall Islands	D	-	-	-	-	-	-	-	D	
Mauritania	14	3	-	-	-	3	-	-	8	
Mauritius	253	82	-	-	D	D	113	11	39	
Mexico	906336	14351	393849	98871	7114	37088	42875	61168	251020	
Moldova	402	113	42	4	59	32	49	5	98	
Monaco	60	11	-	-	41	4	D	-	D	
Mongolia	359	107	-	-	5	51	23	74	99	
Morocco8	932	251	-	-	48	48	252	106	227	
Mozambique	91	12	-	-	4	-	15	-	60	
Namibia	45	7	D	D	D	D	10	-	21	
Nauru	D	-	-	-	D	-	-	-	-	
Nepal	1533	981	D	-	4	39	89	D	415	
Netherlands9	28280	1567	11	14	3938	870	10816	4470	6594	
New Zealand10	7638	841	123	41	1476	394	2789	80	1894	
Nicaragua	1509	215	515	110	9	166	184	18	292	
Niger	28	7	D	-	D	4	7	-	7	
Nigeria	3110	1170	-	D	102	246	517	D	1067	
Norway	6636	429	-	D	1093	D	1609	1558	1584	
Oman	78	10	-	-	-	-	29	8	31	
Pakistan	5197	1653	D	-	D	205	893	442	1932	
Panama	1599	255	-	81	122	251	228	287	375	
Papua New Guinea	6	-	-	-	-	-	-	-	6	
Paraguay	342	66	-	-	20	38	33	69	116	
Peru	5842	1424	950	30	260	326	1260	80	1512	
Philippines	15246	3449	57	640	275	183	2720	694	7228	
Poland	9330	1079	D	D	834	669	3512	429	2760	
