Table 26.	
NONIMMIGRANT ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF CITIZENSHIP: FISCAL YEARS 2008 TO 2017	

Gabon	2099	2170	2452	2706	2546	2792	2971	3079	3111	2862	
Gambia	2014	2394	2966	2999	2468	2551	2695	2310	2230	2108	
Georgia	5341	5196	5728	5694	6128	6628	9102	11110	9617	5617	
Germany	2119640	2023971	2076215	2182441	2308207	2359681	2448591	2381765	2367813	2409465	
Ghana	27125	23943	24926	25760	27405	27822	29460	27965	28995	28824	
Greece	82518	75426	79719	84380	79010	81400	89425	88012	96967	101625	
Grenada	11773	11069	11487	11289	11163	10674	10872	12484	12824	13012	
Guatemala	224030	204994	213056	208885	216670	224006	252586	256875	290019	302128	
Guinea	4324	3382	2870	2740	2780	2777	3250	3223	3791	3939	
Guinea-Bissau	241	316	165	102	64	126	285	295	252	328	
Guyana	24862	25985	28146	28995	34970	39412	43549	56719	71203	73818	
Haiti	115591	103601	106066	99161	98865	108382	124841	136804	161877	154981	
Holy See	122	127	125	123	118	130	136	144	128	162	
Honduras	139103	137923	131782	141685	152168	157751	176636	183851	220021	231029	
Hungary	53664	60937	66516	73475	75947	81213	91102	92587	99880	108588	
Iceland	57247	35330	41990	57872	56114	55202	56250	56149	60879	70124	
India	1100401	974306	1140913	1222302	1296276	1491712	1720729	1898327	1988420	2055480	
Indonesia	87917	80049	89262	101894	111496	123583	133013	137940	134536	144790	
Iran	11479	15084	18375	21027	24290	26144	33303	35266	31805	21892	
Iraq	3351	3999	6161	7868	12215	17077	23858	21381	21116	19123	
Ireland	669638	561051	486354	471174	452312	487428	518282	524500	543054	575551	
Israel	388787	363209	363907	356956	366779	381206	400169	458225	465738	481255	
Italy	1086722	1036940	1111972	1201510	1192251	1205816	1366572	1319429	1357516	1384255	
Jamaica	281353	252663	240304	219140	223785	233430	265740	304611	351792	352461	
Japan	3906231	3368590	3831173	3777643	4141299	4298081	4199152	4021857	3987687	3975012	
Jordan	27950	27848	30200	31982	35620	38867	44886	53559	54551	52240	
Kazakhstan	16515	13756	16826	20027	21249	22422	26066	29519	27057	31769	
Kenya	23186	21443	21183	19516	20331	22105	27425	29008	31400	35876	
Kiribati	798	1164	995	989	694	654	762	953	944	1007	
Korea, North	D	34	130	232	24	59	84	99	120	69	
Korea, South	1007466	906006	1332352	1460972	1527085	1656795	1780662	1946887	2197905	2510988	
Kosovo	NA	NA	NA	NA	NA	NA	5204	5663	5595	5403	
Kuwait	22305	25246	29500	35568	40912	48784	64754	73943	77167	61578	
Kyrgyzstan	2898	2783	3383	3992	3740	4584	4128	3609	3482	1943	
Laos	2619	1861	1514	1115	1315	2556	2578	2294	2138	2760	
Latvia	14533	15892	16177	18453	20748	22330	23871	23963	24768	27205	
Lebanon	28669	26894	30733	32915	36527	42775	50632	51894	51830	48860	
Lesotho	425	434	509	571	532	524	639	593	716	680	
Liberia	1948	1681	2075	2583	3290	4152	5152	5360	4559	4580	
Libya	4313	3711	4956	2462	2933	4016	4120	2879	2138	1481	
Liechtenstein	1701	1786	1913	2297	2255	2234	2330	2350	2254	2183	
