Fiscal Year 2016	A-1	A-2	A-3	B-1	B-1,2	B-2	B-1,2/BCC	B-1,2/BCV	C-1	C-1/D	C-2	C-3	CW-1	CW-2	D	E-1	E-2	E-2C	E-3	E-3D	E-3R	F-1	F-2	F-3	G-1	G-2	G-3	G-4	G-5	H-1B	H-1B1	H-1C	H-2A	H-2B	H-3	H-4	I	J-1	J-2	K-1	K-2	K-3	K-4	L-1	L-2	M-1	M-2	M-3	NATO-1	NATO-2	NATO-3	NATO-4	NATO-5	NATO-6	NATO-7	N-8	N-9	O-1	O-2	O-3	P-1	P-2	P-3	P-4	Q-1	R-1	R-2	S-5	S-6	S-7	TN	TD	T-1	T-2	T-3	T-4	T-5	T-6	U-1	U-2	U-3	U-4	U-5	Total Visas	BCC	Grand Total	
Mauritania	14	84	1	2	1,136	4	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	36	2	0	21	78	0	49	1	3	0	0	0	0	0	0	3	39	1	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1,491	0	1,491	
Mauritius	7	29	0	5	2,461	9	0	0	0	1,012	0	0	0	0	2	0	1	0	0	0	0	81	0	0	7	28	0	19	2	28	0	0	1	0	0	2	1	63	4	2	1	0	0	12	10	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3,794	0	3,794	
Morocco	39	1,137	28	75	15,940	54	0	0	7	489	0	0	0	0	10	0	7	0	0	0	0	701	9	0	36	170	0	75	7	46	0	0	0	0	2	17	32	595	22	276	9	4	0	25	21	4	0	0	0	0	0	0	0	0	0	0	0	6	0	3	11	0	5	0	32	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	19,897	0	19,897	
Mozambique	26	165	3	5	1,650	2	0	0	33	14	0	0	0	0	1	0	0	0	0	0	0	90	8	0	16	84	0	60	0	4	0	0	0	0	5	2	10	93	4	5	0	0	0	7	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,300	0	2,300	
Namibia	32	104	1	27	997	6	0	0	8	53	0	5	0	0	0	0	0	0	0	0	0	49	1	0	16	143	0	8	1	3	0	0	4	0	0	5	4	56	1	1	0	0	0	3	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,545	0	1,545	
Niger	34	258	5	20	948	2	0	0	2	0	0	18	0	0	0	0	0	0	0	0	0	119	3	0	49	118	0	54	1	4	0	0	0	0	0	2	0	52	3	8	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,710	0	1,710	
Nigeria	180	1,152	5	76	162,996	2,662	0	0	82	144	0	33	0	0	6	1	2	0	0	1	0	6,758	705	0	134	280	0	285	2	402	0	0	0	3	1	97	137	1,008	118	1,014	89	6	5	122	160	173	5	0	0	0	0	0	0	0	0	0	0	17	19	2	19	0	70	6	0	119	43	0	0	0	0	3	0	0	1	0	0	0	0	0	2	0	0	179,145	0	179,145	
Rwanda	15	210	2	3	1,854	5	0	0	1	1	0	35	0	0	1	0	0	0	0	0	0	492	11	0	7	6	0	73	6	16	0	0	0	0	0	7	0	126	10	25	1	1	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,920	0	2,920	
Sao Tome and Principe	3	22	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	9	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	68	
Senegal	44	258	0	5	4,349	8	0	0	9	1	0	6	0	0	26	0	2	0	0	0	0	291	3	0	46	183	0	192	6	27	0	0	0	0	0	13	14	175	5	50	4	0	0	5	5	2	0	0	0	0	0	0	0	0	0	0	0	4	7	0	5	0	45	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,791	0	5,791	
