Fiscal Year 2016	A-1	A-2	A-3	B-1	B-1,2	B-2	B-1,2/BCC	B-1,2/BCV	C-1	C-1/D	C-2	C-3	CW-1	CW-2	D	E-1	E-2	E-2C	E-3	E-3D	E-3R	F-1	F-2	F-3	G-1	G-2	G-3	G-4	G-5	H-1B	H-1B1	H-1C	H-2A	H-2B	H-3	H-4	I	J-1	J-2	K-1	K-2	K-3	K-4	L-1	L-2	M-1	M-2	M-3	NATO-1	NATO-2	NATO-3	NATO-4	NATO-5	NATO-6	NATO-7	N-8	N-9	O-1	O-2	O-3	P-1	P-2	P-3	P-4	Q-1	R-1	R-2	S-5	S-6	S-7	TN	TD	T-1	T-2	T-3	T-4	T-5	T-6	U-1	U-2	U-3	U-4	U-5	Total Visas	BCC	Grand Total	
Mongolia	42	230	4	3	7,885	4	0	0	36	0	0	1	3	0	2	0	35	0	0	0	0	1,077	309	0	6	79	0	31	1	28	0	0	0	0	1	7	39	727	41	21	1	0	0	6	8	8	3	0	0	0	0	0	0	0	0	0	0	4	0	3	58	0	19	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10,731	0	10,731	
Nepal	32	275	6	62	17,830	34	0	0	48	256	0	23	16	5	0	0	1	0	0	5	0	5,928	512	0	19	89	0	324	4	509	0	0	1	0	0	199	27	286	83	122	11	2	0	36	28	22	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	32	0	0	19	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	26,859	0	26,859	
Oman	43	461	3	4	2,002	2,165	0	0	2	151	0	0	0	0	0	0	0	0	0	0	0	751	64	0	16	26	0	0	0	1	0	0	0	0	0	3	0	50	22	0	0	0	0	4	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,792	0	5,792	
Pakistan	157	1,788	36	110	65,844	1,083	0	0	27	664	0	11	0	0	0	3	160	0	0	5	0	2,302	296	0	141	100	0	386	6	601	0	0	0	0	2	630	113	2,413	454	506	16	4	3	191	228	28	4	0	0	0	0	0	0	0	0	0	0	30	0	15	7	0	137	6	0	18	41	0	0	0	0	68	0	0	0	0	0	0	0	1	2	0	0	78,637	0	78,637	
Palestinian Authority Travel Document	0	1	0	170	9,212	79	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	288	12	0	0	0	0	33	0	27	0	0	0	0	0	9	3	262	53	45	0	0	0	13	13	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	2	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10,244	0	10,244	
Philippines	92	1,911	274	7,850	99,967	730	0	0	1,446	78,457	0	117	3,278	481	7	8	112	2	0	7	0	1,009	71	0	94	113	0	361	114	1,455	0	0	58	835	56	1,065	67	9,389	270	6,926	1,388	0	0	653	645	46	0	0	0	4	0	0	0	0	0	2	0	69	187	18	168	0	25	0	0	208	46	0	0	0	0	21	0	45	143	0	1	1	0	2	7	0	0	220,301	0	220,301	
Qatar	118	562	5	5	7,173	1	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	721	31	0	10	45	0	0	0	3	0	0	0	0	0	0	5	28	3	0	0	0	0	4	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,762	0	8,762	
Saudi Arabia	604	4,757	95	127	78,042	72	0	0	5	0	0	0	0	0	756	0	0	0	0	0	0	16,474	5,836	0	81	92	0	57	0	69	0	0	0	1	15	44	20	860	489	10	2	0	0	176	394	484	15	0	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	109,590	0	109,590	
Singapore	37	3,667	0	34	762	0	0	0	1	2,287	0	12	4	0	2	2	47	0	0	7	0	1,958	101	0	14	78	0	33	0	330	685	0	0	0	45	301	60	1,083	101	37	2	0	0	311	255	51	2	0	0	0	0	0	0	0	0	0	0	42	11	8	1	1	4	0	0	6	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	12,391	0	12,391	
Sri Lanka	14	219	7	141	10,876	85	0	0	84	1,325	0	0	8	0	0	0	15	0	0	2	0	841	146	0	36	123	0	78	8	185	0	0	0	0	0	84	14	150	57	22	0	0	0	111	115	49	0	0	0	0	0	0	0	0	0	0	0	4	2	0	2	0	42	0	0	23	0	0	0	0	0	5	0	0	0	0	0	0	1	4	3	0	0	14,881	0	14,881	
Syria	1	5	8	76	7,797	107	0	0	9	38	0	0	0	0	2	0	4	0	0	1	0	320	44	0	72	1	0	66	0	33	0	0	0	0	0	34	14	84	22	226	9	1	0	32	48	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9,096	0	9,096	
Thailand	59	1,194	6	337	47,382	27	0	0	104	2,195	0	27	16	3	0	15	598	1	0	4	0	4,248	36	0	17	261	1	57	7	209	0	0	25	5	4	40	113	8,124	67	640	86	0	0	115	63	79	4	0	0	0	0	0	0	0	0	0	0	40	10	8	38	0	6	0	3	96	0	0	0	0	0	4	0	7	13	0	0	0	0	0	0	0	0	66,394	0	66,394	
Timor-Leste	6	53	0	1	22	2	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	13	0	0	3	25	0	0	1	0	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	153	
United Arab Emirates	69	1,302	0	4	16,090	1,159	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	1,067	88	0	10	51	0	0	0	6	0	0	0	0	2	1	0	53	9	0	0	0	0	6	4	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20,117	0	20,117	
Vietnam	258	768	1	99	86,180	1,110	0	0	168	1,246	0	63	2	0	8	1	8	0	0	6	0	15,680	225	0	48	179	0	299	6	464	0	0	0	0	8	141	73	1,434	197	1,928	267	1	0	198	177	164	1	0	0	0	0	0	0	0	0	0	0	37	14	20	1	0	93	0	0	197	5	0	0	0	0	3	0	2	5	0	0	0	0	0	0	0	0	111,785	0	111,785	
Yemen	3	28	20	115	3,786	32	0	0	1	19	0	0	0	0	0	0	0	0	0	0	0	665	175	0	42	38	2	109	0	3	0	0	0	0	0	6	1	43	19	28	2	10	6	10	22	9	3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5,203	0	5,203	
																																																																																							
Totals for Asia	3,818	45,528	616	14,529	3,498,550	17,885	0	0	6,546	163,443	8	2,218	8,067	870	4,856	3,476	17,364	62	0	343	0	335,934	21,180	0	1,654	4,300	51	6,028	206	159,366	685	0	84	1,081	838	120,331	3,722	104,517	27,220	16,168	2,128	37	12	40,198	47,155	5,464	141	0	0	4	0	0	0	0	0	4	1	2,822	1,351	1,058	3,358	3	4,467	86	429	2,110	854	0	0	1	0	461	0	74	193	1	4	1	7	30	71	1	2	4,704,072	0	4,704,072	
																																																																																						
Europe																																																																																							
Albania	9	165	0	14	8,749	2	0	0	2	99	0	0	0	0	3	0	19	0	0	0	0	393	9	0	6	61	0	31	0	43	0	0	0	0	0	4	14	314	8	187	3	0	0	9	10	3	0	0	0	7	0	0	0	0	0	0	0	8	4	2	2	0	53	0	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10,242	0	10,242	
Andorra	3	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	4	0	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	38	
Armenia	16	150	0	29	10,211	32	0	0	9	0	0	0	0	0	6	0	14	0	0	0	0	107	28	0	4	12	0	93	3	42	0	0	0	0	5	26	18	206	10	201	11	1	0	17	35	0	0	0	0	1	0	0	0	0	0	0	0	23	27	10	12	0	83	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11,444	0	11,444	
Austria	39	292	1	258	2,827	6	0	0	0	887	0	0	0	0	0	26	194	0	0	1	0	682	12	0	8	19	13	99	0	105	0	0	1	15	3	28	119	2,085	74	30	0	0	0	353	193	60	0	0	0	1	0	0	0	0	0	0	0	147	26	20	255	0	28	2	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,923	0	8,923	
Azerbaijan	53	263	1	16	6,260	6	0	0	1	256	0	7	0	0	0	0	38	0	0	0	0	458	37	0	36	103	0	76	0	31	0	0	0	0	0	11	30	289	28	15	2	0	0	17	26	3	0	0	0	0	0	0	0	0	0	0	0	6	0	3	3	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,088	0	8,088	
Belarus	24	35	0	43	14,869	17	0	0	0	718	0	1	0	0	6	0	2	0	0	0	0	249	6	0	26	55	0	88	0	66	0	0	0	1	0	64	11	971	30	98	26	0	0	209	212	1	0	0	0	0	0	0	0	0	0	0	0	35	0	10	107	0	17	6	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	18,008	0	18,008	
Belgium	39	235	1	38	2,544	4	0	0	2	906	0	9	0	0	1	7	252	0	0	1	0	834	16	0	15	71	17	162	0	140	0	0	0	1	6	51	142	1,230	134	51	4	0	0	450	393	97	0	0	0	311	0	24	0	5	0	0	0	148	94	32	179	1	13	1	1	9	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	8,674	0	8,674	
Bosnia and Herzegovina	19	140	0	45	4,146	2	0	0	1	1,098	0	0	0	0	0	1	0	0	0	0	0	148	3	0	8	26	0	32	1	22	0	0	0	0	0	9	8	551	2	196	10	1	0	13	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	42	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,555	0	6,555	
Bulgaria	37	101	0	91	11,540	16	0	0	3	1,790	0	21	1	0	1	1	235	0	0	3	0	334	6	0	13	38	9	60	0	163	0	0	8	293	1	44	10	5,484	20	99	16	0	0	105	47	10	1	0	0	144	0	4	0	1	0	0	0	35	2	8	82	0	36	5	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	20,921	0	20,921	
Croatia	24	127	0	201	10,764	373	0	0	29	3,696	0	1	1	0	1	4	25	0	0	1	0	278	16	0	8	38	0	35	0	61	0	0	0	8	1	16	24	826	28	47	2	0	0	70	55	4	0	0	0	3	0	0	0	0	0	0	0	31	4	9	64	0	52	3	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16,939	0	16,939	
Cyprus	8	31	0	20	4,781	3	0	0	0	93	0	0	0	0	1	0	0	0	0	0	0	182	2	0	12	28	4	13	0	36	0	0	0	0	0	6	8	98	8	1	0	0	0	18	6	4	0	0	0	0	0	0	0	0	0	0	0	21	0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,391	0	5,391	
Czech Republic	55	326	0	223	1,630	62	0	0	0	423	0	2	1	2	0	1	121	0	0	3	0	520	10	0	17	60	2	35	1	62	0	0	0	169	3	27	27	3,244	103	28	3	0	0	237	164	10	0	0	0	46	0	5	0	1	0	0	0	65	5	18	167	1	22	8	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7,917	0	7,917	
Denmark	36	447	2	64	2,857	6	0	0	2	684	0	4	0	0	0	11	208	0	0	9	0	1,423	9	0	20	144	6	115	1	80	0	0	10	5	13	47	212	2,440	294	37	4	0	0	418	427	33	0	0	0	131	0	6	0	4	0	0	0	188	31	44	107	0	11	4	1	3	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10,609	0	10,609	
Estonia	7	80	0	51	205	0	0	0	0	218	0	0	0	0	0	0	20	0	0	3	0	55	4	0	15	39	1	8	0	19	0	0	0	0	0	7	18	499	24	7	1	0	0	19	19	0	0	0	0	101	0	1	0	0	1	0	0	22	1	6	34	0	10	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,499	0	1,499	
Finland	40	466	0	147	819	13	0	0	0	699	0	1	0	0	0	33	99	0	0	2	0	491	14	0	13	112	5	80	1	62	0	0	0	1	0	46	94	1,160	196	55	0	1	0	357	488	20	2	0	0	1	0	0	0	0	0	0	0	71	10	26	204	0	9	4	1	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5,849	0	5,849	
France	161	1,781	4	350	9,161	78	0	0	16	3,628	0	29	0	0	5	234	3,199	0	0	18	0	6,460	136	0	72	52	45	857	6	1,479	0	0	1	9	49	395	646	13,553	1,031	307	17	1	0	2,841	3,067	214	4	0	1	103	0	17	0	16	0	0	0	950	269	277	975	1	119	19	350	53	4	0	0	0	0	29	0	0	1	0	0	0	5	0	4	0	0	53,099	0	53,099	
Georgia	28	354	1	29	4,649	17	0	0	2	280	0	2	0	0	1	0	4	0	0	1	0	251	21	0	17	50	0	39	2	31	0	0	0	0	0	15	31	424	26	34	1	0	0	12	8	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	30	0	23	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,399	0	6,399	
Germany	220	1,468	3	466	23,569	48	0	0	15	6,348	0	31	1	0	1	1,457	4,329	1	0	19	0	7,307	94	0	81	244	49	480	6	1,061	0	0	1	3	53	313	1,027	20,896	859	408	25	0	0	2,599	1,621	397	10	0	0	812	0	12	41	363	0	0	0	741	286	207	856	1	50	8	157	54	9	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	79,124	0	79,124	
Great Britain and Northern Ireland	172	3,431	6	1,440	32,798	272	0	0	24	9,656	0	89	3	1	5	219	2,969	0	0	111	0	4,753	115	0	54	105	16	712	0	1,769	0	0	44	1,160	58	767	2,114	20,364	420	1,355	63	0	0	6,063	4,414	548	45	0	0	719	0	14	0	36	0	0	0	2,908	2,108	665	2,647	44	219	65	98	138	76	0	0	0	0	32	0	0	0	0	0	0	0	0	0	1	0	105,905	0	105,905	
Greece	47	196	0	31	1,732	2	0	0	2	2,661	0	2	0	0	0	17	10	0	0	3	0	964	39	0	13	49	7	55	0	364	0	0	0	16	1	101	20	840	143	40	4	0	0	145	116	13	0	0	0	144	0	2	0	1	0	0	0	123	11	42	62	0	106	2	3	6	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8,138	0	8,138	
Hungary	53	220	0	21	1,038	1	0	0	2	525	0	3	0	0	0	6	9	0	0	2	0	330	13	0	9	106	7	40	0	122	0	0	3	68	18	61	31	2,255	101	54	5	0	0	299	254	12	0	0	0	77	0	4	0	3	0	0	0	71	6	26	299	0	107	8	0	29	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6,304	0	6,304	
Iceland	7	13	0	0	876	0	0	0	1	710	0	0	0	0	0	0	1	0	0	1	0	249	46	0	5	25	0	16	0	25	0	0	0	0	0	24	4	154	38	4	0	0	0	26	31	15	5	0	0	0	0	0	0	0	0	0	0	26	6	12	23	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2,347	0	2,347	
Ireland	17	143	2	198	2,718	24	0	0	3	1,110	0	1	0	0	0	45	355	0	0	10	0	539	12	0	11	23	2	117	0	549	0	0	48	298	20	135	192	8,442	88	127	4	0	0	1,011	667	28	0	0	0	1	0	0	0	0	0	1	0	299	154	58	398	2	336	10	12	24	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	18,237	0	18,237	
Italy	140	574	1	388	9,728	16	0	0	9	2,838	0	16	0	0	3	365	2,054	0	0	10	0	4,018	90	0	20	150	41	454	3	896	0	0	2	19	29	233	193	7,726	385	157	7	1	0	1,317	892	162	1	0	0	523	0	6	0	5	0	0	0	724	187	138	436	1	34	24	242	84	15	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	35,369	0	35,369	
Kazakhstan	63	320	5	103	10,894	224	0	0	85	0	0	1	0	0	105	0	37	0	0	0	0	1,040	168	0	39	93	0	40	3	55	0	0	0	0	3	30	28	2,334	45	49	15	1	0	45	62	28	0	0	0	0	0	0	0	0	0	0	0	13	1	9	25	0	1	5	2	20	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15,996	0	15,996	
Kosovo	31	147	0	7	3,680	4	0	0	2	2	0	0	0	0	0	0	5	0	0	0	0	82	2	0	0	29	0	20	0	11	0	0	0	0	0	2	12	535	4	113	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,710	0	4,710	
Kyrgyzstan	12	138	0	5	2,812	1	0	0	82	0	0	0	0	0	84	0	14	0	0	1	0	146	22	0	18	46	0	116	2	11	0	0	0	0	0	5	27	484	13	33	9	1	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4,110	0	4,110	
Latvia	14	146	0	2	362	114	0	0	2	1,096	0	0	0	0	0	0	13	0	0	1	0	101	0	0	1	17	2	23	0	24	0	0	0	0	1	7	4	286	15	11	1	0	0	30	18	1	0	0	0	4	0	0	0	0	0	0	0	34	9	9	60	0	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,416	0	2,416	
Liechtenstein	6	2	0	2	7	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	11	0	0	2	5	0	2	0	3	0	0	0	0	0	1	1	5	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	56	
Lithuania	10	162	0	18	433	0	0	0	0	459	0	0	0	0	0	0	49	0	0	3	0	220	5	0	0	31	7	17	0	29	0	0	0	135	1	20	11	1,587	14	30	4	0	0	66	73	7	0	0	0	17	0	1	0	5	0	0	0	39	0	3	32	0	22	2	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3,518	0	3,518	
Luxembourg	23	26	0	2	118	0	0	0	0	36	0	0	0	0	0	0	5	0	0	0	0	71	0	0	2	15	1	14	0	6	0	0	0	0	0	2	2	61	3	4	0	0	0	8	3	6	0	0	0	4	0	2	0	0	0	0	0	2	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	0	424	
Macedonia	24	133	1	8	3,662	4	0	0	1	531	0	1	0	0	0	0	1	0	0	0	0	68	0	0	1	29	0	20	0	27	0	0	0	8	0	4	7	1,497	10	86	3	0	0	9	2	1	0	0	0	0	0	0	0	0	0	0	0	8	1	2	3	0	34	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,189	0	6,189	
Malta	13	18	0	1	157	0	0	0	0	57	0	1	0	0	0	0	1	0	0	0	0	16	1	0	6	27	3	3	0	4	0	0	0	0	0	2	6	19	1	0	0	0	0	42	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0	386	
Moldova	12	182	1	16	5,276	2	0	0	11	181	0	1	0	0	1	0	4	0	0	0	0	87	4	0	9	24	0	41	2	31	0	0	46	5	0	44	5	1,841	9	57	4	0	0	8	15	1	0	0	0	0	0	0	0	0	0	0	0	9	0	3	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,947	0	7,947	
Monaco	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	22	
Montenegro	17	125	0	16	3,382	1	0	0	3	1,636	0	0	0	0	0	0	1	0	0	0	0	88	0	0	0	34	0	6	0	14	0	0	0	9	0	5	7	764	5	11	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	8	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,154	0	6,154	
Netherlands	82	433	2	345	6,802	17	0	0	5	3,069	0	2	0	0	1	7	427	2	0	9	0	1,727	26	0	15	147	21	187	1	252	0	0	4	36	10	98	218	3,600	192	160	2	0	0	1,014	966	151	1	0	0	201	0	10	1	2	0	0	0	352	215	83	297	3	21	10	4	14	7	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	21,259	0	21,259	
Norway	39	249	1	60	2,556	9	0	0	3	710	0	1	0	0	0	19	179	0	0	0	0	1,812	22	0	12	11	0	91	0	56	0	0	0	1	1	23	140	1,582	217	43	1	1	1	191	182	85	13	0	0	193	0	8	0	0	0	0	0	124	35	19	194	0	5	4	177	19	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9,101	0	9,101	
Poland	58	511	1	736	88,624	56	0	0	21	2,705	0	2	0	0	0	9	135	0	0	5	0	738	25	0	4	75	11	93	1	207	0	0	2	206	7	91	188	5,058	193	138	10	0	0	561	502	21	1	0	0	395	0	8	0	65	0	0	0	145	37	28	528	1	207	3	1	71	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	102,494	0	102,494	
Portugal	11	99	2	81	1,806	7	0	0	0	1,493	0	7	3	1	0	1	26	0	0	2	0	504	33	0	6	65	5	79	1	157	0	0	0	16	1	73	34	747	76	50	3	0	0	298	251	39	0	0	2	69	0	2	0	1	0	0	0	96	46	40	76	1	41	5	2	11	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6,372	0	6,372	
Romania	54	354	4	630	34,497	20	0	0	253	6,091	0	2	0	0	2	2	51	0	0	1	0	404	20	0	19	139	6	111	2	196	0	0	202	670	2	74	44	6,619	68	216	20	1	0	259	170	10	0	0	0	245	0	12	0	0	0	0	0	63	0	16	57	0	109	3	2	10	12	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	51,748	0	51,748	
Russia	290	1,033	1	530	151,692	397	0	0	117	16,872	0	18	5	1	1	9	40	2	0	6	0	4,776	359	0	356	389	0	672	2	672	0	0	0	3	6	517	346	5,363	236	641	118	0	0	1,197	1,280	58	5	0	0	0	0	0	0	0	0	0	0	388	33	134	1,033	0	270	74	0	64	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	190,026	0	190,026	
San Marino	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	1	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	23	
Serbia  	17	112	0	92	13,302	14	0	0	9	2,649	0	3	0	0	2	5	14	0	0	1	0	820	19	0	8	32	0	60	2	169	0	0	1	564	2	62	31	4,519	51	116	7	0	0	88	82	3	0	0	0	0	0	0	0	0	0	0	0	76	4	17	46	2	40	17	0	7	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	23,077	0	23,077	
Slovakia	15	163	0	23	920	0	0	0	1	564	0	3	0	0	0	1	84	0	0	1	0	301	20	0	21	36	1	28	1	49	0	0	0	80	2	15	14	3,303	24	28	0	0	0	148	112	3	1	0	5	4	0	0	0	0	0	0	0	36	3	9	49	0	4	3	0	14	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6,094	0	6,094	
Slovenia	11	44	0	7	519	0	0	0	2	178	0	2	0	0	0	4	28	0	0	0	0	132	3	0	6	35	5	5	0	24	0	0	0	5	1	11	5	302	26	7	1	0	0	26	17	1	0	0	0	35	0	1	0	0	0	0	0	31	1	7	17	0	12	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,513	0	1,513	
Spain	58	563	3	73	6,566	9	0	0	6	2,861	0	8	0	0	3	73	1,522	0	0	7	0	4,138	149	0	20	162	30	509	6	809	0	0	1	34	16	224	274	9,670	1,332	156	11	0	0	1,268	1,299	75	0	0	1	173	0	10	0	8	0	0	2	512	138	174	324	0	210	48	56	45	14	0	0	0	0	29	0	0	0	0	0	0	0	0	0	1	0	33,680	0	33,680	
Sweden	42	1,001	5	105	6,738	86	0	0	13	991	0	11	0	0	3	12	535	0	0	16	0	2,310	22	0	20	169	7	136	0	202	0	0	2	11	4	72	209	2,762	275	100	3	0	0	651	635	101	2	0	0	0	0	0	0	0	0	0	0	302	194	111	405	0	23	19	0	20	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	18,333	0	18,333	
Switzerland	34	343	0	139	4,151	36	0	0	0	857	0	6	0	0	0	17	281	0	0	3	0	3,096	49	0	16	19	0	220	0	162	0	0	3	1	5	49	131	1,598	162	36	1	0	0	357	303	148	6	0	0	0	0	0	0	0	0	0	0	152	14	34	97	0	3	4	1	13	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12,549	0	12,549	
Tajikistan	11	115	0	1	1,255	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	166	8	0	21	29	0	76	0	9	0	0	0	0	0	5	6	208	23	12	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,955	0	1,955	
Turkey	107	1,269	5	174	85,560	1,506	0	0	11	5,510	0	9	0	0	2	81	687	0	0	1	0	6,201	363	0	16	383	0	135	6	731	0	0	0	40	8	334	205	8,820	900	116	0	0	0	262	252	84	3	0	1	461	2	13	0	5	0	0	0	90	4	48	25	0	9	0	42	6	12	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	114,504	0	114,504	
Turkmenistan	13	47	0	21	981	11	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	201	33	0	12	22	0	29	0	4	0	0	0	0	0	2	1	166	0	8	2	0	0	8	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,587	0	1,587	
Ukraine	66	573	2	456	45,638	1,301	0	0	46	12,095	0	0	0	0	0	3	171	0	0	0	0	1,057	83	0	52	83	0	134	2	277	0	0	125	643	1	342	61	6,486	111	928	212	1	0	480	471	16	1	0	0	0	0	0	0	0	0	0	0	120	6	43	359	1	51	25	0	44	40	0	0	0	0	17	0	0	0	0	0	0	0	0	1	0	0	72,624	0	72,624	
Uzbekistan	48	169	0	16	8,303	9	0	0	6	324	0	0	0	0	0	0	1	0	0	0	0	371	58	0	12	41	0	83	0	31	0	0	0	0	0	30	2	747	16	57	18	0	0	21	47	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	18	0	14	1	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10,456	0	10,456	
