Fiscal Year 2017	A-1	A-2	A-3	B-1	B-1,2	B-2	B-1,2/BCC	B-1,2/BCV	C-1	C-1/D	C-2	C-3	CW-1	CW-2	D	E-1	E-2	E-2C	E-3	E-3D	E-3R	F-1	F-2	F-3	G-1	G-2	G-3	G-4	G-5	H-1B	H-1B1	H-1C	H-2A	H-2B	H-3	H-4	I	J-1	J-2	K-1	K-2	K-3	K-4	L-1	L-2	M-1	M-2	M-3	NATO-1	NATO-2	NATO-3	NATO-4	NATO-5	NATO-6	NATO-7	N-8	N-9	O-1	O-2	O-3	P-1	P-2	P-3	P-4	Q-1	R-1	R-2	S-5	S-6	S-7	TN	TD	T-1	T-2	T-3	T-4	T-5	T-6	U-1	U-2	U-3	U-4	U-5	Total Visas	BCC	Grand Total	
Madagascar	24	62	0	4	1,086	0	0	0	141	0	0	10	0	0	278	0	0	0	0	0	0	91	7	0	32	91	0	136	2	12	0	0	0	0	1	6	3	54	1	10	2	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,059	0	2,059	
Malawi	5	129	0	3	1,180	0	0	0	35	2	0	15	0	0	0	0	0	0	0	0	0	92	29	0	8	148	0	52	0	3	0	0	0	0	0	0	6	104	6	3	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1,836	0	1,836	
Mali	12	205	1	4	1,804	4	0	0	7	2	1	40	0	0	0	0	0	0	0	0	0	110	0	0	14	116	0	47	1	2	0	0	0	0	0	2	10	77	2	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	18	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,537	0	2,537	
Mauritania	23	66	1	2	618	3	0	0	0	0	0	4	0	0	13	0	0	0	0	0	0	25	1	0	9	98	0	36	0	3	0	0	0	0	0	2	5	42	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962	0	962	
Mauritius	10	27	0	3	2,146	4	0	0	12	917	0	0	0	0	1	0	1	0	0	0	0	83	3	0	4	25	0	29	0	18	0	0	0	0	0	8	3	61	5	6	0	0	0	11	3	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3,386	0	3,386	
Morocco	41	970	20	64	12,250	16	0	0	12	455	0	14	0	0	7	2	7	0	0	0	0	546	11	0	22	188	0	101	6	33	0	0	0	0	2	15	30	579	37	237	2	2	0	32	23	6	0	0	0	0	0	0	0	0	0	0	0	8	0	0	31	0	13	0	9	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	15,795	0	15,795	
Mozambique	21	100	3	1	1,441	4	0	0	4	15	0	0	0	0	0	0	0	0	0	0	0	93	6	0	9	52	0	69	0	4	0	0	0	0	3	10	15	77	9	6	0	0	0	7	9	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,966	0	1,966	
Namibia	24	83	3	36	1,216	1	0	0	19	38	0	5	0	0	0	0	0	0	0	0	0	47	11	0	3	112	0	14	0	3	0	0	3	0	0	0	3	77	2	4	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,722	0	1,722	
Niger	27	166	4	17	1,243	2	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	108	3	0	46	72	0	60	1	3	0	0	0	0	0	1	0	61	2	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1,838	0	1,838	
Nigeria	159	869	9	86	155,940	78	0	0	95	76	0	56	0	0	4	1	2	0	0	0	0	6,642	831	0	92	279	0	421	2	354	0	0	0	1	0	105	149	1,031	127	685	59	0	0	137	143	107	2	0	0	0	0	0	0	0	0	0	0	21	1	7	43	0	113	10	0	164	77	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	168,980	0	168,980	
Rwanda	4	141	2	0	1,426	2	0	0	3	2	0	18	0	0	2	0	0	0	0	1	0	473	4	0	10	17	0	58	1	10	0	0	0	0	0	3	1	91	8	31	6	0	0	6	5	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,338	0	2,338	
Sao Tome and Principe	2	13	0	3	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	17	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	72	
Senegal	65	195	0	7	3,823	3	0	0	3	0	0	17	0	0	40	0	3	0	0	0	0	238	8	0	41	148	0	205	5	16	0	0	0	0	0	6	21	150	7	48	6	0	0	7	5	1	0	0	0	0	0	0	0	0	0	0	0	3	16	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5,099	0	5,099	
Seychelles	3	12	1	15	135	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	28	0	4	0	0	0	0	0	0	0	0	0	7	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	228	
Sierra Leone	13	127	0	7	1,873	5	0	0	23	6	0	0	0	0	0	0	0	0	0	0	0	83	9	0	19	12	0	38	3	3	0	0	0	0	0	1	1	58	0	120	14	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,419	0	2,419	
Somalia	6	3	1	0	119	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	5	17	0	29	0	0	0	0	0	0	0	0	0	23	0	37	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	276	
South Africa	66	532	5	367	46,427	667	0	0	128	2,378	0	47	0	0	2	2	17	0	0	9	0	1,058	37	0	22	179	0	212	4	187	0	0	2,800	1,538	8	164	60	2,677	75	131	8	0	0	685	657	87	11	0	0	1	0	0	0	0	0	0	0	137	34	79	178	1	35	9	33	46	37	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	61,839	0	61,839	
South Sudan	50	29	0	0	244	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	9	81	0	13	0	0	0	0	0	0	0	0	0	40	1	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	545	
Sudan	57	46	66	209	3,189	40	0	0	3	0	0	0	0	0	19	0	0	0	0	0	0	172	18	0	44	94	0	68	0	21	0	0	0	0	0	15	7	98	25	29	0	0	0	6	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,239	0	4,239	
Swaziland	4	28	1	1	376	1	0	0	0	2	0	40	0	0	0	0	0	0	0	0	0	61	0	0	13	93	0	7	1	5	0	0	1	0	0	1	3	34	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	677	0	677	
Tanzania	26	212	0	99	4,782	14	0	0	15	57	0	32	0	0	1	0	0	0	0	0	0	443	13	0	43	163	0	118	1	25	0	0	0	0	0	11	13	194	15	30	0	0	0	3	4	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	18	0	12	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,387	0	6,387	
