Table 3.	
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY REGION AND COUNTRY OF BIRTH: FISCAL YEARS 2008 TO 2017	

Region and country of birth	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	
Greece	769	798	745	949	1054	1361	1235	1211	1451	1314	
Grenada	784	748	664	579	671	687	633	525	585	544	
Guatemala	16182	12187	10467	11092	10341	10224	10238	11773	13002	13198	
Guinea	1735	1725	1379	1555	1656	1518	1375	1389	1501	1348	
Guinea-Bissau	17	20	30	29	47	43	30	39	37	48	
Guyana	6823	6670	6749	6599	5683	5897	6267	5543	5771	5468	
Haiti	26007	24280	22582	22111	22818	20351	15274	16967	23584	21824	
Honduras	6540	6404	6448	6133	6884	8898	8156	9274	13302	11387	
Hong Kong	3373	2651	2432	2306	2104	2226	2278	2085	2510	2415	
Hungary	1127	1314	1022	1044	1054	1052	996	1095	1048	972	
Iceland	122	131	105	90	103	139	86	104	97	86	
India	63352	57304	69162	69013	66434	68458	77908	64116	64687	60394	
Indonesia	3606	3679	3032	2856	2603	2731	2139	2084	2129	1914	
Iran	13852	18553	14182	14822	12916	12863	11615	13114	13298	13791	
Iraq	4795	12110	19855	21133	20369	9552	19153	21107	18904	14203	
Ireland	1465	1637	1507	1371	1514	1626	1605	1607	1759	1485	
Israel	5851	5612	4515	3826	4153	3996	3805	3965	4142	3802	
Italy	2514	2892	2579	2443	2673	2960	3298	3544	4078	3655	
Jamaica	18477	21783	19825	19662	20705	19400	19026	17642	23350	21905	
Japan	6821	7690	6264	6161	6061	5925	5545	5395	5207	4635	
Jordan	3936	4282	3868	3876	4099	4188	5187	4664	5269	5264	
Kazakhstan	1630	1562	1282	1235	1202	1241	1221	1201	1310	1377	
Kenya	6998	9880	7421	7762	7043	6123	5884	5602	6274	6957	
Kiribati	4	10	6	D	6	D	6	4	9	D	
Korea, North	NA	67	35	36	49	48	142	55	47	32	
Korea, South 1	26666	25859	22227	22824	20846	23166	20423	17138	21801	19194	
Kosovo	-	-	355	670	782	839	758	814	1020	1014	
Kuwait	1104	1124	1037	973	1044	937	1057	1055	1186	1177	
Kyrgyzstan	632	574	507	542	648	652	707	790	847	715	
Laos	2198	1688	1200	956	949	923	806	917	856	685	
Latvia	455	444	435	426	436	424	384	480	391	359	
Lebanon	4254	3831	3487	3295	2879	2783	3245	2813	2971	2818	
Lesotho	16	14	23	25	17	20	13	23	19	24	
Liberia	7193	7641	4837	4151	4109	3334	3874	3795	3619	4155	
Libya	285	296	355	357	315	376	524	734	642	780	
Lithuania	967	1069	985	936	924	854	747	750	735	645	
Luxembourg	28	30	22	24	19	40	26	27	34	33	
Macau	205	158	143	130	120	106	105	99	109	109	
Macedonia	1107	1128	963	1078	906	895	960	1060	1262	1027	
Madagascar	77	71	80	83	79	95	86	72	88	60	
Malawi	133	164	164	123	192	159	172	160	205	228	
Malaysia	1945	2014	1714	2273	2605	2477	2622	2749	3382	4109	
Maldives	D	6	5	3	3	5	13	8	11	5	
Mali	523	576	528	629	734	667	604	587	598	544	
Malta	66	58	74	51	62	43	39	58	65	75	
Marshall Islands	39	48	37	38	50	46	56	32	32	23	
Mauritania	844	597	495	393	410	354	320	298	317	287	
Mauritius	83	110	84	101	77	83	81	96	110	96	
Mexico	189989	164920	139120	143446	146406	135028	134052	158619	174534	170581	
Micronesia, Federated States	13	16	10	9	13	4	5	6	11	6	
Moldova	1692	2295	1981	2258	2021	2485	2341	2496	2929	2480	
Monaco	7	4	12	6	5	8	8	10	11	14	
Mongolia	659	831	594	774	691	729	651	644	750	661	
Montenegro	-	-	120	204	265	265	289	251	387	323	
Montserrat	61	43	27	30	27	-	38	14	14	12	
Morocco	4425	5447	5013	4399	3656	3336	3605	3710	4586	4229	
Mozambique	69	66	53	60	94	73	71	107	101	96	
Namibia	46	53	60	43	59	57	44	86	87	130	
Nepal	4093	4514	7115	10166	11312	13046	12357	12926	12851	11610	
Netherlands	1240	1499	1321	1085	1091	1142	1195	1309	1319	1056	
Netherlands Antilles (former)	78	97	77	86	106	128	45	22	18	9	
New Caledonia	5	13	6	5	3	6	6	9	5	4	
New Zealand	893	947	919	803	814	921	796	855	846	798	
Nicaragua	3614	4137	3565	3401	3046	3048	2886	3324	3486	3072	
Niger	107	183	96	96	48	37	71	55	119	116	
Nigeria	12475	15253	13376	11824	13575	13840	12828	11542	14380	13539	
Norway	350	407	334	339	276	335	271	310	362	290	
Oman	70	74	63	60	74	73	90	85	116	104	
Pakistan	19719	21555	18258	15546	14740	13251	18612	18057	19313	17408	
Palau	6	16	18	7	10	16	12	15	14	13	
Panama	1678	1806	1536	1374	1281	1234	1095	1052	1029	889	
Papua New Guinea	15	19	30	20	21	27	18	11	23	18	
Paraguay	481	530	467	500	467	448	391	382	434	391	
Peru	15184	16957	14247	14064	12609	12564	10606	10148	10940	10115	
Philippines	54030	60029	58173	57011	57327	54446	49996	56478	53287	49147	
Poland	8354	8754	7643	6863	6300	6430	5689	5275	5603	4845	
Portugal	772	946	755	821	811	918	892	857	1006	939	
Qatar	151	134	148	193	141	191	202	229	272	224	
Romania	4930	4910	4003	3882	3748	3773	3246	3376	3554	2953	
Russia	11695	8238	6718	7944	9969	9753	9079	8799	9297	8918	
Rwanda	378	952	489	520	592	540	555	732	1357	1394	
Saint Kitts and Nevis	363	310	339	350	311	259	263	222	250	238	
Saint Lucia	946	1027	872	785	919	853	844	739	777	777	
Saint Vincent and the Grenadines	568	591	576	468	503	529	448	415	422	361	
Samoa	227	250	219	267	238	237	239	207	219	194	
Sao Tome and Principe	7	11	10	9	12	6	5	6	12	10	
Saudi Arabia	1194	1418	1263	1396	1343	1463	1696	1744	2117	2135	
Senegal	1149	1524	1285	1424	1615	1340	1273	1244	1533	1470	
Serbia	-	-	20	244	704	866	1143	1278	1351	1410	
Serbia and Montenegro (former)	3255	3166	2196	1398	801	653	267	232	202	144	
Seychelles	16	10	8	15	7	6	7	11	16	10	
Sierra Leone	2795	2687	2011	1985	1688	1651	1740	1599	1535	2058	
Singapore	922	832	774	690	712	835	779	781	812	818	
Sint Maarten	X	X	X	-	-	-	45	45	42	35	
Slovakia	653	706	538	594	528	507	460	424	483	388	
Slovenia	79	108	74	69	86	62	78	107	119	108	
Somalia	10745	13390	4558	4451	5204	3764	5190	6796	6958	7404	
South Africa	2723	3171	2758	2649	2781	2629	2676	2907	3023	2912	
South Sudan	X	X	X	-	17	59	74	127	124	160	
Soviet Union (former)	5270	5911	4978	3687	1296	1264	1136	1022	1042	939	
Spain	1621	1769	1684	1890	1842	2480	2928	3303	3519	3045	
Sri Lanka	1935	2009	2036	2053	1994	1847	1767	1763	1913	1627	
Sudan	3598	3577	2397	2628	2471	1945	2442	3580	3159	3515	
Suriname	218	227	216	196	187	178	158	134	156	136	
Swaziland	18	42	22	19	24	15	23	19	20	19	
Sweden	1019	1138	1097	979	968	1106	954	1066	1144	950	
Switzerland	720	798	675	615	635	697	656	640	743	565	
Syria	2641	2442	2555	2785	3014	3366	3540	3840	4800	5877	
Taiwan	9073	8038	6732	6154	5331	5385	4697	4888	5120	4858	
Tajikistan	231	265	299	382	411	550	516	595	593	652	
Tanzania	838	2773	1850	1427	1516	837	774	799	788	1415	
Thailand	6637	10444	9384	9962	9459	7583	6197	7502	7039	6311	
Togo	1661	1680	1563	1506	1756	1257	1612	1547	1938	1572	
Tonga	365	379	343	408	276	348	320	327	283	262	
Trinidad and Tobago	5937	6256	5435	5023	5214	4724	3988	3212	3469	3100	
Tunisia	410	416	418	440	422	445	429	518	518	535	
Turkey	4210	4958	4483	4403	4162	4144	3834	4201	4469	4844	
Turkmenistan	274	290	224	260	223	210	254	226	235	251	
Turks and Caicos Islands	35	31	29	33	30	50	40	38	39	35	
Uganda	1174	1364	1085	1239	1340	1350	1409	1664	1649	1898	
Ukraine	10813	11223	8477	8292	7642	8193	7752	7987	10422	10135	
United Arab Emirates	693	697	779	707	854	910	1039	1193	1370	1314	
United Kingdom	14348	15748	12792	11572	12014	12984	12225	12592	12673	10948	
United States	216	181	201	269	279	319	358	370	468	409	
Uruguay	1451	1775	1331	1553	1374	1352	1128	1078	972	1001	
Uzbekistan	6375	5467	4770	5056	4726	4382	5194	3977	4359	4095	
Venezuela	10514	11154	9409	9183	9387	9572	8427	9144	10772	11809	
Vietnam	31497	29234	30632	34157	28304	27101	30283	30832	41451	38231	
Virgin Islands, British	53	46	46	37	39	45	56	38	40	25	
Yemen	1872	3134	3591	3361	2620	3532	3492	3194	13040	6029	
Zambia	613	704	628	652	643	505	441	460	487	537	
Zimbabwe	953	983	1274	1016	914	924	797	779	815	810	
All other countries 2	30	38	32	27	25	30	36	35	34	37	
Unknown	1394	1366	1330	1245	1206	3263	1150	677	1724	1468	
NA Not available.	
X Not applicable.	
D Data withheld to limit disclosure.	
- Represents zero.	
1 Data for South Korea prior to Fiscal Year 2009 include a small number of cases from North Korea.	
2 Includes countries with fewer than 10 lawful permanent residents per year.	
Source: U.S. Department of Homeland Security.	
