Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Czechoslovakia (former),862,865,750,466,159,74,74,58,62,52
Denmark,498,603,518,459,459,506,514,609,521,461
Djibouti,39,54,37,56,106,90,190,370,281,222
Dominica,454,484,366,287,125,244,345,229,298,510
Dominican Republic,"31,879","49,414","53,870","46,109","41,566","41,311","44,577","50,610","61,161","58,520"
Ecuador,"11,663","12,128","11,492","11,103","9,342","10,591","10,960","10,187","10,757","10,594"
Egypt,"8,712","8,844","8,978","7,778","8,988","10,294","11,477","12,085","12,045","9,834"
El Salvador,"19,659","19,909","18,806","18,667","16,256","18,260","19,273","19,487","23,449","25,109"
Equatorial Guinea,16,32,12,13,20,18,15,25,18,20
Eritrea,"1,270","1,928","1,656","2,102","2,643","2,138","2,002","2,220","2,267","2,449"
Estonia,287,282,260,191,227,211,220,189,211,176
Ethiopia,"12,917","15,462","14,266","13,793","14,544","13,097","12,300","11,394","13,232","14,637"
Fiji,"1,176","1,194","1,201","1,041",853,895,802,875,866,805
Finland,302,423,397,363,348,331,350,407,489,439
France,"4,935","4,569","3,919","3,653","3,862","4,425","4,284","4,693","5,159","4,782"
French Polynesia,26,30,16,21,30,,24,14,27,20
Gabon,82,171,138,204,197,127,167,146,165,150
Gambia,739,978,859,972,"1,159","1,018","1,111","1,142","1,247","1,134"
Georgia,"1,620","1,578","1,518","1,490","1,341","1,368","1,240","1,410","1,635","1,629"
Germany,"7,091","7,583","6,888","6,125","5,812","6,032","5,584","5,436","5,306","4,662"
Ghana,"8,195","8,401","7,429","8,798","10,592","10,265","7,115","6,186","6,949","8,455"
Greece,769,798,745,949,"1,054","1,361","1,235","1,211","1,451","1,314"
Grenada,784,748,664,579,671,687,633,525,585,544
Guatemala,"16,182","12,187","10,467","11,092","10,341","10,224","10,238","11,773","13,002","13,198"
Guinea,"1,735","1,725","1,379","1,555","1,656","1,518","1,375","1,389","1,501","1,348"
Guinea-Bissau,17,20,30,29,47,43,30,39,37,48
Guyana,"6,823","6,670","6,749","6,599","5,683","5,897","6,267","5,543","5,771","5,468"
Haiti,"26,007","24,280","22,582","22,111","22,818","20,351","15,274","16,967","23,584","21,824"
Honduras,"6,540","6,404","6,448","6,133","6,884","8,898","8,156","9,274","13,302","11,387"
Hong Kong,"3,373","2,651","2,432","2,306","2,104","2,226","2,278","2,085","2,510","2,415"
Hungary,"1,127","1,314","1,022","1,044","1,054","1,052",996,"1,095","1,048",972
Iceland,122,131,105,90,103,139,86,104,97,86
