Category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Receipts,"314,621","285,475","246,126","248,272","268,412","308,242","299,690","325,971","368,852","399,349","404,087"
Approvals,"246,035","219,264","183,850","192,276","207,253","240,440","232,978","259,812","307,129","348,162","298,445"
