Table 21.	
PERSONS NATURALIZED BY REGION AND COUNTRY OF BIRTH: FISCAL YEARS 2008 TO 2017	

Region and country of birth	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	
Ireland	2179	1296	1178	1171	1239	1295	1413	1375	1383	1405	
Israel	2933	3410	3205	3153	2859	3466	3015	3182	3071	2466	
Italy	2991	2552	2064	2231	2234	2355	2313	2760	2692	2501	
Jamaica	21324	15098	12070	14591	15531	16442	13547	16566	16772	15087	
Japan	2712	2192	1622	1744	1663	1837	1635	1858	1758	1713	
Jordan	2632	2891	2436	2345	2436	2816	2427	2461	2552	2239	
Kazakhstan	908	917	763	891	1040	909	789	819	760	729	
Kenya	2218	2546	3043	3621	4170	4257	3885	4738	4834	4348	
Korea, North	NA	28	13	13	19	27	24	23	16	15	
Korea, South 1	22759	17576	11170	12664	13790	15786	13587	14230	14347	14643	
Kosovo	89	397	590	465	510	487	392	547	530	410	
Kuwait	1031	1152	919	869	820	920	791	819	790	677	
Kyrgyzstan	361	338	380	440	420	395	305	418	408	412	
Laos	5553	3081	2743	5452	7027	3932	2564	2042	1999	1726	
Latvia	455	404	342	401	392	364	366	392	356	306	
Lebanon	3399	3787	3266	3127	2914	3002	2528	2463	2284	2081	
Lesotho	6	D	7	11	7	10	8	11	9	8	
Liberia	2468	2767	3360	3794	4322	3923	3035	3042	3022	2421	
Libya	198	249	173	180	195	206	228	193	210	207	
Lithuania	969	786	843	973	938	933	744	752	626	584	
Luxembourg	17	22	18	18	23	16	34	20	18	14	
Macau	181	158	94	86	106	97	102	109	101	70	
Macedonia	756	741	682	578	635	665	625	611	704	582	
Madagascar	43	49	55	44	37	50	50	65	75	61	
Malawi	64	58	80	86	85	83	76	91	95	84	
Malaysia	1705	1178	1211	1137	1150	1169	1052	1113	1189	1170	
Mali	124	149	200	274	288	332	352	405	456	391	
Malta	71	72	46	54	44	59	40	50	43	47	
Marshall Islands	12	29	21	32	21	17	20	22	27	16	
Mauritania	122	175	281	405	495	520	376	355	323	288	
Mauritius	70	89	79	64	57	67	69	60	63	65	
Mexico	231815	111630	67062	94783	102181	99385	94889	105958	103550	118559	
Micronesia, Federated States	62	125	84	74	73	96	62	85	67	53	
Moldova	1328	1239	1235	1398	1602	1594	1279	1681	1689	1442	
Mongolia	129	137	157	242	286	347	335	324	437	416	
Montenegro	32	140	167	205	227	231	202	209	222	187	
Montserrat	87	59	57	63	51	65	47	43	45	45	
Morocco	3383	4556	3710	3656	3872	3768	3538	3805	3684	2943	
Mozambique	73	47	41	49	48	51	34	43	51	38	
Namibia	38	27	38	29	42	40	31	42	33	27	
Nepal	953	1632	2185	2235	2448	2711	2888	4225	5004	4509	
